Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 59876 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  36.00-37.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  37.00-38.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 Kbits/sec    0   2.41 MBytes       
[  5]  40.00-41.00  sec  1.25 MBytes  10486 Kbits/sec    0   2.41 MBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10491 Kbits/sec    0   2.41 MBytes       
[  5]  44.00-45.00  sec  1.25 MBytes  10482 Kbits/sec    0   2.41 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  46.00-47.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  49.00-50.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 Kbits/sec    0   2.41 MBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  53.00-54.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10494 Kbits/sec    0   2.41 MBytes       
[  5]  55.00-56.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.41 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10485 Kbits/sec    0   2.41 MBytes       
[  5]  57.00-58.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  58.00-59.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
[  5]  59.00-60.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.41 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  71.1 MBytes  9946 Kbits/sec    0             sender
[  5]   0.00-60.00  sec  70.3 MBytes  9827 Kbits/sec                  receiver

iperf Done.
